,İşletim Sistemi,İşlemci,Bellek Kapasitesi,Ekran Boyutu (inç),Ekran,Arka kamera çözünürlüğü,Ön Kamera Çözünürlüğü,Yüz Tanıma,Üretici Garantisi
84,iOSiOS,A14,256,5.4,Super,12,12,Evet,2
85,iOSiOS,A14,64,5.4,Super,12,12,Evet,2
86,AndroidAndroid,Octa,128,6.7,QHD+,Gece,10,Evet,2
87,iOSiOS,A14,256,6.1,Super,12,12,Evet,2
88,AndroidAndroid,Octa,128,6.9,6.9,Gece,40.0,,2
89,AndroidAndroid,SDM720G,128,6.5,Infinity-O,64MP,32,Evet,2
90,AndroidAndroid,Spreadtrum,64,6.22,Mini,13,5,Evet,2
91,AndroidAndroid,Exynos,256,6.7,FHD+,Ultra,,,2
92,AndroidAndroid,Exynos,128,6.7,FHD+,Ultra,,,2
93,AndroidAndroid,Exynos,256,6.7,FHD+,Ultra,,,2
94,AndroidAndroid,Exynos,256,6.7,FHD+,Ultra,,,2
95,iOSiOS,A14,128,6.1,Süper,Single,12,Evet,2
96,AndroidAndroid,Octa,128,6.9,6.9,Gece,40.0,,2
97,AndroidAndroid,Kirin,128,6.4,LCDLCD,Bokeh,16,Evet,2
98,iOSiOS,Yeni,64,6.1,Liquid,Yavaş,7,Evet,2
99,MI,MediaTek,32,6.53,Tipik,13,13,Hayır,2
100,AndroidAndroid,Kirin,64,6.39,TFT,Ultra,8,Evet,2
101,AndroidAndroid,Qualcomm®,64,6.67,FHD+,Ultra,16,Evet,2
102,iOSiOS,Üçüncü,256,6.1,Liquid,Gece,12,Evet,2
103,AndroidAndroid,Qualcomm,64,6.53,IPS,Single,16,Evet,2
104,AndroidAndroid,Huawei,128,6.67,IPS,Single,8,Evet,2
105,AndroidAndroid,Exynos,,6.2,FHD+,Ultra,,,2
106,AndroidAndroid,Exynos,,6.2,FHD+,Ultra,,,2
107,,,,,,,,,
108,iOSiOS,A14,128,5.4,Super,12,12,Evet,2
109,AndroidAndroid,Qualcomm,128,6.67,IPS,64,20,Evet,2
110,iOSiOS,A14,256,5.4,Süper,Single,12,Evet,2
111,iOSiOS,A14,,6.1,Super,12,12,Evet,2
112,iOSiOS,A14,128,5.4,Super,12,12,Evet,2
113,AndroidAndroid,Exynos,128,6.7,FHD+,Ultra,,,1
114,AndroidAndroid,Huawei,128,6.67,IPS,Single,8,Evet,2
115,AndroidAndroid,Exynos,128,6.7,FHD+,Ultra,,,2
116,AndroidAndroid,Kirin,128,6.4,LCDLCD,Bokeh,16,Evet,2
117,MI,MediaTek,64,6.26,Tipik,12,12,Hayır,2
118,AndroidAndroid,Exynos,256,6.8,WQHD+,Ultra,,,2
119,AndroidAndroid,Exynos,256,6.8,WQHD+,Ultra,,,2
120,iOSiOS,A14,128,6.1,Super,12,12,Evet,2
121,MI,MediaTek,64,6.26,Tipik,12,12,Hayır,2
122,AndroidAndroid,Exynos,128,6.8,WQHD+,Ultra,,,2
123,iOSiOS,A14,128,6.1,Super,12,12,Evet,2
124,AndroidAndroid,Exynos,128,6.8,WQHD+,Ultra,,,2
125,iOSiOS,A14,128,6.1,Super,Çift,12,Evet,2
126,AndroidAndroid,Exynos,,6.2,FHD+,Ultra,,,2
127,AndroidAndroid,Exynos,,6.2,FHD+,Ultra,,,2
128,AndroidAndroid,Octa-Core,128,6.7,FHD+,12.0,32.0,Evet,2
129,AndroidAndroid,Octa-Core,128,6.7,6.7,12.0,32.0,Evet,2
130,iOSiOS,Yeni,64,6.1,Liquid,Yavaş,7,Evet,2
131,iOSiOS,A14,64,6.1,Super,12,12,Evet,2
132,AndroidAndroid,Octa-Core,128,6.7,6.7,12.0,32.0,Evet,2
133,iOSiOS,A13,64,4.7,Retina,Altı,7,Hayır,2
134,iOSiOS,Üçüncü,64,6.1,Liquid,Gece,12,Evet,2
135,iOSiOS,A14,512,6.1,Super,12,12,Evet,2
136,iOSiOS,Üçüncü,64,6.1,Liquid,Gece,12,Evet,2
137,iOSiOS,A14,128,6.7,Super,12,12,Evet,2
138,AndroidAndroid,Mediatek,128,6.52,2.5D,Single,13,Evet,2
139,iOSiOS,A13,64,4.7,Retina,Altı,7,Hayır,2
140,iOSiOS,A14,512,6.7,Super,12,12,Evet,2
141,AndroidAndroid,Octa-Core,32,6.5,6.5”,13.0,5.0,Evet,2
142,AndroidAndroid,MediaTek,64,6.5,,64,16,Evet,2
143,AndroidAndroid,Octa-Core,32,6.5,HD+,13,5,Evet,2
144,İOS,İkinci,64,6.1,Liquid,Yavaş,7,Evet,2
145,iOSiOS,A14,64,6.1,Super,12,12,Evet,2
146,iOSiOS,Üçüncü,256,6.1,Liquid,Gece,12,Evet,2
147,iOSiOS,İkinci,128,6.1,Liquid,Yavaş,7,Evet,2
148,AndroidAndroid,Exynos,,6.2,FHD+,Ultra,,,1
149,İOS,İkinci,64,6.1,Liquid,Yavaş,7,Evet,2
150,iOSiOS,A14,,6.1,Super,Çift,,,2
151,AndroidAndroid,Octa-Core,128,6.7,FHD+,123,32.0,Evet,2
152,AndroidAndroid,MediaTek,128,6.4,6.4”,48MP,20,Evet,2
153,iOSiOS,Üçüncü,256,6.1,Liquid,Gece,12,Evet,2
154,AndroidAndroid,Cortex-A75,32,6.53,IPS,13,8,Evet,2
155,Funtouch,SDM460,128,6.51,IPS,13,8,Hayır,2
156,iOSiOS,A14,512,6.7,Super,12,12,Evet,2
157,Funtouch,SDM460,128,6.51,IPS,13,8,,2
158,AndroidAndroid,ARM,32,6.53,IPS,13,5,Evet,2
159,AndroidAndroid,Mediatek,32,6.22,IPS,Single,5,Evet,2
160,iOSiOS,A14,256,6.7,Super,12,12,Evet,2
161,AndroidAndroid,Octa-Core,128,6.5,6.5,Single,32,Evet,1
162,AndroidAndroid,Qualcomm,256,6.5,Amoled,Single,32,Evet,2
163,AndroidAndroid,Octa-Core,32,6.5,6.5”,13.0,5.0,Evet,2
164,AndroidAndroid,Octa,128,6.7,QHD+,Gece,10,Evet,2
165,iOSiOS,A14,512,6.1,Süper,Single,12,Evet,2
166,iOSiOS,A14,128,6.7,Super,12,12,Evet,2
167,AndroidAndroid,Octa-Core,128,6.7,,64MP,32.0,Evet,2
168,iOSiOS,Üçüncü,256,6.1,Liquid,Gece,12,Evet,2
169,AndroidAndroid,SDM720G,128,6.5,6.5”,64MP,32,Evet,2
170,AndroidAndroid,AndroidAndroid,128,6.3,OLED,120°,1080,Evet,2
171,AndroidAndroid,Octa,128,6.9,6.9,Gece,40.0,,1
172,AndroidAndroid,MediaTek,128,6.53,FHD+,Gece,13,Evet,2
173,iOSiOS,A14,128,5.4,Super,12MP,12,Evet,2
174,AndroidAndroid,AndroidAndroid,128,6.3,OLED,120°,1080,Evet,2
175,AndroidAndroid,Octa-Core,128,6.5,6.5,Ultra,32,Evet,2
176,iOSiOS,Üçüncü,256,6.1,Liquid,Gece,12,Evet,2
177,AndroidAndroid,Octa-Core,128,6.5,6.5,Ultra,32,Evet,2
178,iOSiOS,A14,256,6.7,Süper,Single,12,Evet,2
179,AndroidAndroid,Octa-Core,128,6.5,HD+,48.0,13,,2
180,AndroidAndroid,Octa-Core,128,6.5,HD+,48.0,13,,2
181,iOSiOS,A14,,5.4,Super,12,12,Evet,2
182,AndroidAndroid,Snapdragon,64,6.67,FHD+,Ultra,16,Evet,2
183,AndroidAndroid,Helio,128,6.4,6.4,64.0,20,Hayır,2
184,iOSiOS,Üçüncü,64,6.1,Liquid,Gece,12,Evet,2
185,AndroidAndroid,SDM460,64,6.51,IPS,13,8,Hayır,2
186,AndroidAndroid,Snapdragon,256,6.56,Amoled,Single,32,Hayır,2
187,AndroidAndroid,,128,6.5,Sonsuz-O,Single,32,,1
188,iOSiOS,A13,128,4.7,Retina,Altı,7,Hayır,2
189,AndroidAndroid,Octa-Core,128,6.7,FHD+,123,32.0,Evet,2
