İlanNo,Lokasyon,m²(Brüt),m²(Net),OdaSayısı,BinaYaşı,BulunduğuKat,KatSayısı,Isıtma,BanyoSayısı,Balkon,Eşyalı,KullanımDurumu,Siteİçerisinde,Aidat(TL),Depozito(TL),Kimden,Fiyat
928143812,İstanbul/Maltepe/AltıntepeMh.,75,70,1+1,31veüzeri,3,4,Doğalgaz(Kombi),1,Var,Hayır,MülkSahibi,Hayır,30,2.900,EmlakOfisinden,2900
928139618,İstanbul/Eyüpsultan/NişancıMh.,85,80,2+1,26-30arası,2,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,30,2.000,Sahibinden,1700
928135000,İstanbul/Kağıthane/NurtepeMah.,120,110,2+1,16-20arası,3,4,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,30,2.500,Sahibinden,2250
928143455,İstanbul/Maltepe/FeyzullahMah.,140,117,3+1,26-30arası,4,4,Merkezi,1,Var,Hayır,MülkSahibi,Hayır,50,3.200,EmlakOfisinden,3200
928143390,İstanbul/Sarıyer/FerahevlerMah.,100,90,2+1,26-30arası,2,6,Doğalgaz(Kombi),1,Var,Hayır,Kiracılı,Hayır,50,3.250,EmlakOfisinden,3250
928137962,İstanbul/Gaziosmanpaşa/BağlarbaşıMh.,107,100,2+1,0,2,5,Doğalgaz(Kombi),1,Var,Belirtilmemiş,Boş,Hayır,50,3.000,Sahibinden,2250
928142714,İstanbul/Kağıthane/OrtabayırMh.,55,45,1+1,3,1,5,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,140,2.850,EmlakOfisinden,2850
928140323,İstanbul/Tuzla/PostaneMah.,130,110,2+1,21-25arası,2,3,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,0,2.200,EmlakOfisinden,2200
922848840,İstanbul/Gaziosmanpaşa/KaradenizMah.,189,149,3+1,0,7,20,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,Belirtilmemiş,13.200,EmlakOfisinden,6600
928141634,İstanbul/Esenyurt/PiriReisMh.,100,90,2+1,4,4,8,Merkezi(PayÖlçer),1,Var,Evet,Boş,Evet,Belirtilmemiş,8.000,EmlakOfisinden,4000
928141743,İstanbul/Bakırköy/ŞenlikköyMh.,150,130,3+1,26-30arası,BahçeKatı,3,Doğalgaz(Kombi),2,Var,Hayır,Boş,Evet,250,2,EmlakOfisinden,3800
922858705,İstanbul/Çekmeköy/MerkezMah.,90,80,2+1,5-10arası,3,3,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,50,1.900,EmlakOfisinden,1900
917169155,İstanbul/Şişli/19MayısMh.,55,50,1+1,16-20arası,1,6,Klima,1,Yok,Evet,Boş,Hayır,Belirtilmemiş,2.250,EmlakOfisinden,2250
928140261,İstanbul/Kadıköy/MerdivenköyMh.,135,115,3+1,26-30arası,3,12,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,150,3.250,EmlakOfisinden,3250
922854209,İstanbul/Esenyurt/KozaMh.,62,50,1+1,3,2,14,Merkezi(PayÖlçer),1,Yok,Evet,Boş,Evet,285,5.400,EmlakOfisinden,1800
928140552,İstanbul/Esenyurt/ZaferMh.,50,40,Stüdyo(1+0),5-10arası,2,10,Merkezi(PayÖlçer),1,Yok,Evet,Boş,Evet,250,2,EmlakOfisinden,1300
917157568,İstanbul/Sarıyer/AyazağaMh.,60,53,1+1,4,Kot1,10,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Evet,300,2.150,EmlakOfisinden,2200
909124834,İstanbul/Ümraniye/NecipFazılMh.,130,110,3+1,4,14,14,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Hayır,370,3.500,Sahibinden,3500
928140963,İstanbul/Üsküdar/MuratReisMah.,85,78,2+1,21-25arası,1,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,3000
928140818,İstanbul/Beşiktaş/NisbetiyeMh.,200,180,5+1,26-30arası,5,5,Doğalgaz(Kombi),2,Yok,Hayır,Boş,Hayır,Belirtilmemiş,8.000,EmlakOfisinden,8000
928140771,İstanbul/Küçükçekmece/GültepeMh.,90,85,2+1,16-20arası,1,5,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,25,2.300,EmlakOfisinden,2300
928138529,İstanbul/Kağıthane/GürselMh.,60,50,1+1,2,Kot1,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,40,1.550,EmlakOfisinden,1550
917257916,İstanbul/Bağcılar/SancaktepeMah.,125,120,3+1,21-25arası,4,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,2.500,EmlakOfisinden,2100
928137875,İstanbul/Bahçelievler/ŞirinevlerMh.,90,80,2+1,16-20arası,2,5,Doğalgaz(Kombi),1,Var,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,5.000,EmlakOfisinden,2800
827498841,İstanbul/Küçükçekmece/HalkalıMerkezMh.,100,90,2+1,21-25arası,2,5,Doğalgaz(Kombi),1,Var,Hayır,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1900
928138694,İstanbul/Ümraniye/KazımKarabekirMh.,70,70,1+1,16-20arası,Kot1,3,Soba,1,Yok,Hayır,Boş,Hayır,0,750,EmlakOfisinden,750
928137961,İstanbul/Eyüpsultan/EmniyettepeMah.,65,55,1+1,4,2,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1800
928134793,İstanbul/Sarıyer/İstinyeMh.,90,80,1+1,5-10arası,Kot3,3,Klima,2,Var,Evet,Boş,Hayır,Belirtilmemiş,2.000,Sahibinden,2000
928134968,İstanbul/Zeytinburnu/MaltepeMah.,80,54,1+1,4,3,10,Merkezi(PayÖlçer),1,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,4500
907503801,İstanbul/Bakırköy/ZuhuratbabaMah.,70,60,1+1,31veüzeri,3,3,Klima,1,Yok,Hayır,Boş,Hayır,50,1.650,EmlakOfisinden,1650
917387097,İstanbul/Bağcılar/MahmutbeyMah.,750,550,9+1,0,14,27,Merkezi,6Üzeri,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,30000
928133489,İstanbul/Beyoğlu/CihangirMah.,84,72,2+1,26-30arası,ZeminKat,7,Doğalgaz(Kombi),1,Var,Evet,Kiracılı,Hayır,50,10.000,Sahibinden,8000
915148596,İstanbul/Şişli/FulyaMah.,140,130,3+1,31veüzeri,4,10,Merkezi,2,Var,Hayır,Boş,Hayır,500,4.000,EmlakOfisinden,4000
928133711,İstanbul/Bağcılar/KemalpaşaMh.,90,85,2+1,11-15arası,2,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,15,2.000,Sahibinden,2000
922282551,İstanbul/Şişli/GülbaharMh.,55,50,1+1,0,GirişKatı,5,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,Belirtilmemiş,7.400,EmlakOfisinden,3700
928131501,İstanbul/Beşiktaş/YıldızMh.,120,110,2+1,21-25arası,3,5,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Sahibinden,6500
928136545,İstanbul/Esenyurt/İnönüMh.,70,60,1+1,5-10arası,8,25,Merkezi(PayÖlçer),1,Var,Hayır,Boş,Evet,200,3.000,EmlakOfisinden,1500
922689271,İstanbul/Maltepe/KüçükyalıMh.,100,90,3+1,26-30arası,2,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,30,2.250,EmlakOfisinden,2250
928135987,İstanbul/Üsküdar/ZeynepKamilMah.,85,80,2+1,26-30arası,Kot1,4,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,25,2.000,EmlakOfisinden,1700
928136125,İstanbul/Kağıthane/TelsizlerMah.,100,95,2+1,5-10arası,ÇatıKatı,5,Doğalgaz(Kombi),1,Var,Hayır,Kiracılı,Hayır,Belirtilmemiş,2.500,EmlakOfisinden,2500
928134570,İstanbul/Ümraniye/TatlısuMh.,157,145,3+1,4,11,13,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,4000
928122703,İstanbul/Adalar/NizamMh.,120,110,3+1,31veüzeri,2,2,Doğalgaz(Kombi),1,Var,Evet,MülkSahibi,Hayır,Belirtilmemiş,10.000,Sahibinden,70000
838553412,İstanbul/Esenyurt/İncirtepeMh.,95,70,2+1,4,YüksekGiriş,5,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Sahibinden,1800
922852284,İstanbul/Kadıköy/SahrayıCeditMh.,160,130,3+1,21-25arası,2,9,Merkezi,1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,5600
928129366,İstanbul/Üsküdar/CumhuriyetMah.,90,90,3+1,11-15arası,GirişKatı,5,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,20,1.700,Sahibinden,1700
928132877,İstanbul/Şişli/PaşaMh.,75,65,1+1,31veüzeri,GirişKatı,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,50,1.600,EmlakOfisinden,1600
928133774,İstanbul/Bakırköy/YeşilyurtMh.,185,170,3.5+1,31veüzeri,4,5,Merkezi,1,Var,Hayır,Boş,Hayır,400,4.500,EmlakOfisinden,5000
928134847,İstanbul/Kadıköy/KozyatağıMh.,68,54,1+1,5-10arası,2,19,Merkezi,1,Yok,Evet,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,4000
928132293,İstanbul/Kadıköy/GöztepeMh.,100,90,2+1,5-10arası,7,8,Doğalgaz(Kombi),1,Yok,Hayır,Kiracılı,Hayır,Belirtilmemiş,11.000,EmlakOfisinden,5500
928127476,İstanbul/Kartal/ÇavuşoğluMh.,100,80,2+1,5-10arası,4,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,60,3.000,Sahibinden,2300
928129463,İstanbul/Başakşehir/BaşakMh.,176,152,3+1,11-15arası,5,6,Doğalgaz(Kombi),1,Var,Hayır,Boş,Evet,100,8.000,Sahibinden,4000
928129890,İstanbul/Beyoğlu/KadımehmetEfendiMh.,90,75,3+1,26-30arası,3,6,DoğalgazSobası,1,Var,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Sahibinden,1350
928131519,İstanbul/Esenyurt/BarbarosHayrettinPaşaMh.,220,165,3+1,11-15arası,7,13,Merkezi(PayÖlçer),3,Var,Hayır,Boş,Hayır,500,Belirtilmemiş,EmlakOfisinden,4500
879379993,İstanbul/Eyüpsultan/GöktürkMerkezMh.,215,190,3+1,4,ÇatıKatı,5,Merkezi(PayÖlçer),3,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,16000
922922867,İstanbul/Gaziosmanpaşa/BağlarbaşıMh.,90,85,2+1,5-10arası,4,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,2.000,EmlakOfisinden,1850
922852907,İstanbul/Başakşehir/BaşakşehirMh.,200,160,4+1,5-10arası,1,6,Merkezi(PayÖlçer),2,Var,Evet,Kiracılı,Evet,200,7.500,EmlakOfisinden,7500
801818339,İstanbul/Tuzla/AydınlıMh.,70,65,1+1,5-10arası,4,10,Merkezi(PayÖlçer),1,Var,Hayır,Boş,Evet,300,1.050,EmlakOfisinden,1050
928133012,İstanbul/Ümraniye/EsenevlerMah.,55,50,1+1,21-25arası,1,3,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1300
928133239,İstanbul/Ümraniye/MehmetAkifMah.,150,130,3+1,5-10arası,9,10,Doğalgaz(Kombi),2,Yok,Hayır,Boş,Evet,300,Belirtilmemiş,EmlakOfisinden,4200
928132841,İstanbul/Maltepe/KüçükyalıMh.,140,120,3+1,21-25arası,4,4,Merkezi,1,Var,Hayır,Boş,Hayır,70,Belirtilmemiş,EmlakOfisinden,4000
906198001,İstanbul/Şişli/MerkezMah.,85,80,2+1,5-10arası,3,5,Doğalgaz(Kombi),1,Yok,Hayır,Kiracılı,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,3700
885446057,İstanbul/Sarıyer/MaslakMah.,65,65,Stüdyo(1+0),3,10,15,Merkezi(PayÖlçer),1,Var,Hayır,Boş,Evet,340,Belirtilmemiş,EmlakOfisinden,7500
917417460,İstanbul/Eyüpsultan/GöktürkMerkezMh.,67,57,1+1,0,3,5,Merkezi(PayÖlçer),1,Var,Hayır,Boş,Evet,Belirtilmemiş,9.500,EmlakOfisinden,4250
928131606,İstanbul/Bağcılar/MahmutbeyMah.,140,100,2+1,0,14,15,Merkezi(PayÖlçer),2,Var,Evet,Boş,Evet,Belirtilmemiş,11.500,EmlakOfisinden,5750
928131491,İstanbul/Ümraniye/YukarıDudulluMh.,80,70,2+1,4,1,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,30,1.400,EmlakOfisinden,1400
928127079,İstanbul/Kağıthane/HarmantepeMah.,85,80,2+1,4,YüksekGiriş,5,Doğalgaz(Kombi),1,Var,Evet,Kiracılı,Hayır,40,875,Sahibinden,875
922921195,İstanbul/Ataşehir/İnönüMh.,125,120,4+1,11-15arası,2,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,2.000,EmlakOfisinden,1500
928131778,İstanbul/Maltepe/CevizliMah.,180,150,4+2,0,5,5,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,5500
928130236,İstanbul/Esenyurt/AkevlerMh.,100,90,2+1,3,2,6,Doğalgaz(Kombi),1,Var,Hayır,MülkSahibi,Evet,25,4.300,İnşaatFirmasından,2150
928131468,İstanbul/Fatih/YedikuleMah.,75,70,2+1,31veüzeri,GirişKatı,5,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,25,1.600,EmlakOfisinden,1600
874293664,İstanbul/Başakşehir/ZiyaGökalpMh.,136,115,2+1,4,4,23,Merkezi(PayÖlçer),2,Var,Evet,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,4500
928130740,İstanbul/Büyükçekmece/KumburgazMerkezMah.,90,75,2+1,26-30arası,1,2,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,0,3.000,EmlakOfisinden,1500
928131039,İstanbul/Küçükçekmece/İnönüMh.,130,120,3+1,11-15arası,3,3,Doğalgaz(Kombi),2,Var,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1700
922446365,İstanbul/Eyüpsultan/AlibeyköyMh.,85,70,2+1,21-25arası,2,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,20,2.000,EmlakOfisinden,1800
928067864,İstanbul/Ataşehir/BarbarosMah.,320,285,4+1,16-20arası,15,22,Merkezi(PayÖlçer),2,Yok,Hayır,MülkSahibi,Evet,1.500,37.500,EmlakOfisinden,18750
928127203,İstanbul/Beşiktaş/EtilerMah.,135,130,3+1,31veüzeri,2,5,Merkezi,1,Var,Hayır,Boş,Hayır,Belirtilmemiş,6.000,EmlakOfisinden,6000
928128940,İstanbul/Çekmeköy/MerkezMah.,95,90,2+1,4,3,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,40,1.500,EmlakOfisinden,1500
928130677,İstanbul/Bahçelievler/FevziÇakmakMh.,85,70,1+1,16-20arası,5,6,Doğalgaz(Kombi),1,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1500
928129910,İstanbul/Küçükçekmece/AtakentMah.,84,75,2+1,5-10arası,3,10,Doğalgaz(Kombi),1,Var,Hayır,Boş,Evet,199,5.000,EmlakOfisinden,2500
928130154,İstanbul/Sancaktepe/MeclisMah.,115,110,2+1,26-30arası,2,4,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,20,1.300,EmlakOfisinden,1300
922573487,İstanbul/Eyüpsultan/MithatpaşaMh.,100,80,2+1,0,7,8,YerdenIsıtma,3,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,5800
928126281,İstanbul/Esenyurt/İnönüMh.,100,80,2+1,4,Kot4,5,Doğalgaz(Kombi),1,Var,Belirtilmemiş,Boş,Hayır,50,Belirtilmemiş,Sahibinden,1500
921941522,İstanbul/Kartal/EsentepeMah.,110,110,2+1,3,6,6,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,50,4.500,Sahibinden,3750
928130133,İstanbul/Başakşehir/Bahçeşehir1.KısımMh.,260,220,5+1,4,3,5,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,700,19.000,EmlakOfisinden,9500
928130314,İstanbul/Eyüpsultan/AkşemsettinMh.,75,66,2+1,0,YüksekGiriş,10,Merkezi(PayÖlçer),1,Yok,Hayır,Boş,Hayır,0,2.000,EmlakOfisinden,2000
928130138,İstanbul/Ümraniye/EsenevlerMah.,70,60,2+1,11-15arası,ÇatıKatı,5,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,2300
928129805,İstanbul/Ataşehir/FetihMah.,105,95,2+1,26-30arası,1,3,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,20,1.400,EmlakOfisinden,1400
928129857,İstanbul/Bağcılar/MahmutbeyMah.,60,50,1+1,5-10arası,5,18,Merkezi(PayÖlçer),1,Yok,Hayır,Kiracılı,Evet,550,4.500,EmlakOfisinden,2250
928128237,İstanbul/Bahçelievler/FevziÇakmakMh.,78,78,2+1,0,BahçeKatı,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1750
928128295,İstanbul/Pendik/YenişehirMh.,100,90,2+1,16-20arası,6,9,Doğalgaz(Kombi),1,Var,Hayır,Boş,Evet,140,Belirtilmemiş,EmlakOfisinden,1250
922520314,İstanbul/Eyüpsultan/GöktürkMerkezMh.,70,60,1+1,3,1,4,Merkezi(PayÖlçer),1,Yok,Hayır,Boş,Evet,145,Belirtilmemiş,EmlakOfisinden,3200
928128892,İstanbul/Beşiktaş/EtilerMah.,95,75,2+1,21-25arası,5,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,7000
928128025,İstanbul/Kadıköy/KozyatağıMh.,100,70,2+1,2,6,8,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,270,7.000,EmlakOfisinden,4750
928128025,İstanbul/Kadıköy/KozyatağıMh.,100,70,2+1,2,6,8,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,270,7.000,EmlakOfisinden,4750
916589795,İstanbul/Şişli/CumhuriyetMah.,112,95,2+1,5-10arası,19,30veüzeri,Merkezi(PayÖlçer),2,Var,Hayır,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,7650
928128739,İstanbul/Çekmeköy/ÇamlıkMh.,160,150,3+1,2,3,3,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,6.000,EmlakOfisinden,3000
917425728,İstanbul/Başakşehir/Bahçeşehir2.KısımMh.,205,135,3+1,21-25arası,Kot2,20,Merkezi,2,Var,Hayır,Boş,Evet,630,7.600,EmlakOfisinden,3800
928127785,İstanbul/Fatih/İskenderpaşaMh.,60,55,1+1,31veüzeri,5,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,2.200,EmlakOfisinden,2200
928128796,İstanbul/Başakşehir/KayabaşıMh.,122,106,3+1,2,YüksekGiriş,5,Merkezi(PayÖlçer),2,Var,Belirtilmemiş,Boş,Evet,190,Belirtilmemiş,EmlakOfisinden,3150
922889699,İstanbul/Beşiktaş/AkatMah.,120,105,2+1,31veüzeri,1,5,Merkezi(PayÖlçer),1,Var,Evet,Boş,Evet,30,Belirtilmemiş,EmlakOfisinden,7000
928123989,İstanbul/Ümraniye/AtatürkMh.,105,90,2+1,26-30arası,4,5,Doğalgaz(Kombi),2,Yok,Belirtilmemiş,Kiracılı,Hayır,Belirtilmemiş,Belirtilmemiş,Sahibinden,2200
920121236,İstanbul/Üsküdar/MimarSinanMh.,90,85,2+1,26-30arası,GirişKatı,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,1.500,EmlakOfisinden,1550
928125536,İstanbul/Kağıthane/TalatpaşaMh.,145,140,3+1,21-25arası,2,3,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1600
810649058,İstanbul/Üsküdar/KısıklıMh.,80,70,1+1,31veüzeri,1,2,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,Belirtilmemiş,1.600,EmlakOfisinden,1600
928127033,İstanbul/Tuzla/MimarSinanMah.,90,70,2+1,0,7,11,Merkezi(PayÖlçer),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,1.250,EmlakOfisinden,1250
928127537,İstanbul/Ataşehir/BarbarosMah.,60,55,1+1,21-25arası,1,4,Doğalgaz(Kombi),1,Yok,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,1.100,EmlakOfisinden,1100
899722108,İstanbul/Sarıyer/ZekeriyaköyMh.,195,145,3+1,0,1,3,Merkezi(PayÖlçer),3,Var,Hayır,Boş,Evet,1.000,16.600,EmlakOfisinden,10500
928123130,İstanbul/Bağcılar/YenigünMh.,85,80,2+1,5-10arası,YüksekGiriş,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,20,1.750,EmlakOfisinden,1750
928121378,İstanbul/Gaziosmanpaşa/BarbarosHayrettinpaşaMh.,100,90,2+1,21-25arası,3,4,Doğalgaz(Kombi),1,Var,Hayır,Kiracılı,Hayır,25,1.500,Sahibinden,1600
899453271,İstanbul/Üsküdar/Valide-iAtikMh.,60,55,1+1,31veüzeri,ZeminKat,5,DoğalgazSobası,1,Yok,Hayır,Boş,Hayır,30,1.100,EmlakOfisinden,1100
922884959,İstanbul/Kağıthane/HarmantepeMah.,70,65,1+1,26-30arası,5,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,1.200,EmlakOfisinden,1200
928126146,İstanbul/Üsküdar/FerahMah.,105,85,3+1,11-15arası,ZeminKat,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,50,2.000,EmlakOfisinden,2000
924306258,İstanbul/Esenyurt/BalıkyoluMh.,80,80,1+1,5-10arası,GirişKatı,5,DoğalgazSobası,1,Yok,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,1.000,Sahibinden,800
928121256,İstanbul/Pendik/EsenyalıMh.,105,90,2+1,5-10arası,1,5,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,50,1.500,Sahibinden,1500
928124066,İstanbul/Bahçelievler/YenibosnaMerkezMah.,65,42,1+1,0,4,11,Merkezi(PayÖlçer),1,Var,Hayır,Boş,Evet,650,Belirtilmemiş,EmlakOfisinden,2850
922913785,İstanbul/Fatih/KocaMustafapaşaMh.,75,70,2+1,31veüzeri,4,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,20,1.600,EmlakOfisinden,1700
917399689,İstanbul/Kadıköy/CaferağaMh.,140,130,3+1,0,4,5,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,200,17.000,EmlakOfisinden,8000
857192163,İstanbul/Şile/ÇavuşMh.,110,95,3+1,21-25arası,2,3,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,Belirtilmemiş,3.000,EmlakOfisinden,27000
928124278,İstanbul/Şişli/EsentepeMah.,80,78,2+1,5-10arası,2,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,2.500,EmlakOfisinden,2500
928123671,İstanbul/Eyüpsultan/GöktürkMerkezMh.,160,150,2+1,5-10arası,2,2,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,2,EmlakOfisinden,9500
928123528,İstanbul/Bakırköy/CevizlikMah.,75,60,1+1,26-30arası,2,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1800
928122802,İstanbul/Kağıthane/ŞirintepeMh.,75,70,2+1,26-30arası,1,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,15,1.400,EmlakOfisinden,1400
898602151,İstanbul/Çekmeköy/TaşdelenMh.,65,50,1+1,3,ZeminKat,5,Doğalgaz(Kombi),1,Yok,Evet,Boş,Hayır,60,Belirtilmemiş,EmlakOfisinden,1650
928094623,İstanbul/Sultangazi/İsmetpaşaMh.,125,115,3+1,4,3,5,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,Belirtilmemiş,2.500,EmlakOfisinden,2500
928122252,İstanbul/Şişli/YaylaMah.,100,85,3+1,4,Kot1,5,Doğalgaz(Kombi),2,Var,Hayır,Boş,Hayır,40,2.250,EmlakOfisinden,2250
928120828,İstanbul/Kadıköy/FenerbahçeMh.,140,107,3+1,0,2,4,Doğalgaz(Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,17.000,EmlakOfisinden,8500
864258674,İstanbul/Pendik/KavakpınarMh.,100,95,2+1,21-25arası,GirişKatı,4,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,950,EmlakOfisinden,850
928120121,İstanbul/Avcılar/TahtakaleMah.,212,175,4+1,11-15arası,10,14,Doğalgaz(Kombi),2,Var,Hayır,MülkSahibi,Evet,470,13.000,EmlakOfisinden,6500
922603017,İstanbul/Beykoz/KavacıkMh.,120,110,2+1,11-15arası,Kot1,5,Doğalgaz(Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,2.500,EmlakOfisinden,2100
928121628,İstanbul/Tuzla/AydınlıMh.,100,100,2+1,5-10arası,1,3,Doğalgaz(Kombi),1,Yok,Belirtilmemiş,Boş,Hayır,Belirtilmemiş,2.000,Sahibinden,1300
928121196,İstanbul/Şişli/MecidiyeköyMh.,120,110,3+1,31veüzeri,4,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,60,2.500,EmlakOfisinden,2500
928120259,İstanbul/Kağıthane/OrtabayırMh.,70,65,1+1,21-25arası,BahçeKatı,5,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1100
928121196,İstanbul/Şişli/MecidiyeköyMh.,120,110,3+1,31veüzeri,4,4,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,60,2.500,EmlakOfisinden,2500
928120259,İstanbul/Kağıthane/OrtabayırMh.,70,65,1+1,21-25arası,BahçeKatı,5,Doğalgaz(Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,EmlakOfisinden,1100
915951583,İstanbul/Esenyurt/ZaferMh.,174,171,3+1,4,2,11,Doğalgaz(Kombi),1,Var,Hayır,Boş,Evet,340,3.500,EmlakOfisinden,3700
928120973,İstanbul/Üsküdar/BurhaniyeMah.,100,80,2+1,21-25arası,ÇatıKatı,5,Doğalgaz(Kombi),1,Var,Evet,Boş,Hayır,20,2.000,EmlakOfisinden,1900
919894568,İstanbul/Çekmeköy/SultançiftliğiMh.,145,125,3+1,3,1,10,Merkezi(PayÖlçer),2,Var,Hayır,Boş,Evet,360,2.050,EmlakOfisinden,1900
